,,,Pillars,,,,Dimensions,,,,,,,,,
Country,Total score,,Government,Technology Sector,Data and Infrastructure,,Vision,Governance and Ethics,Digital Capacity,Adaptability,Maturity,Innovation Capacity,Human Capital,Infrastructure,Data Availability,Data Representativeness
Turkmenistan,31.17,,20.05,30.51,42.94,,0.00,26.86,29.34,24.01,22.29,34.63,34.62,23.98,29.74,75.09
Tuvalu,37.45,,29.27,34.01,49.08,,0.00,25.48,36.08,55.54,28.19,45.69,28.14,25.17,44.54,77.53
Uganda,33.44,,38.06,20.96,41.30,,0.00,48.84,55.89,47.50,5.51,36.79,20.58,25.62,37.15,61.13
Ukraine,53.29,,68.93,36.18,54.75,,100.00,51.79,66.07,57.88,31.77,40.03,36.73,31.62,67.03,65.59
United Arab Emirates,70.42,,78.32,56.67,76.28,,100.00,69.21,88.89,55.18,34.76,62.86,72.38,67.50,65.93,95.41
United Kingdom of Great Britain and Northern Ireland,78.57,,82.50,68.80,84.42,,100.00,91.11,74.18,64.72,59.99,76.44,69.95,75.04,84.26,93.95
United Republic of Tanzania,32.86,,35.46,20.71,42.42,,0.00,43.24,56.62,42.00,4.47,39.91,17.75,39.11,28.77,59.37
United States of America,84.80,,86.04,81.02,87.32,,100.00,89.08,82.74,72.36,84.77,89.10,69.20,88.34,80.76,92.86
Uruguay,60.57,,74.40,35.32,71.99,,100.00,72.99,69.25,55.36,24.82,33.61,47.53,56.65,77.59,81.74
Uzbekistan,43.79,,49.07,24.80,57.49,,50.00,46.70,59.49,40.10,14.36,34.30,25.75,47.83,59.65,64.99
Vanuatu,31.91,,26.19,25.23,44.32,,0.00,25.06,40.76,38.94,20.34,30.60,24.73,25.58,39.17,68.22
"Venezuela, Bolivarian Republic of",29.20,,17.17,26.14,44.29,,0.00,11.09,30.59,26.99,14.55,32.79,31.09,22.15,40.85,69.87
Viet Nam,54.48,,69.04,37.82,56.58,,100.00,62.03,66.46,47.67,28.38,46.38,38.70,33.72,67.49,68.53
Yemen,19.89,,19.59,30.94,9.13,,0.00,30.27,34.47,13.64,6.95,47.23,38.63,5.57,20.45,1.37
Zambia,32.36,,32.32,20.33,44.42,,0.00,51.30,42.41,35.59,8.04,32.21,20.74,39.05,31.38,62.84
Zimbabwe,30.71,,24.08,23.41,44.63,,0.00,37.18,31.74,27.42,12.03,32.50,25.68,38.91,35.97,59.02
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
