"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLF24,West Northamptonshire,"10,842","10,881","11,310","12,008","12,390","12,670","12,903","13,452","13,962","14,617","15,702","15,754","15,713","15,733","16,697","17,286","17,672","18,184","19,182","19,257","19,854","20,579","21,040","20,919","21,645","22,752","24,612"
ITL3,TLF25,North Northamptonshire,"10,057","10,165","10,548","11,038","11,421","11,697","12,097","12,645","13,198","13,816","14,754","14,958","15,037","14,958","15,265","15,830","16,380","16,868","17,797","17,777","18,165","18,340","18,884","19,254","19,689","20,729","22,360"
ITL2,TLF3,Lincolnshire,"9,808","10,027","10,351","10,683","11,075","11,404","11,795","12,231","12,725","13,006","13,751","14,021","14,360","14,575","14,924","15,350","15,673","16,176","16,724","16,755","17,218","17,759","18,389","18,548","19,102","20,157","21,854"
ITL3,TLF30,Lincolnshire CC,"9,808","10,027","10,351","10,683","11,075","11,404","11,795","12,231","12,725","13,006","13,751","14,021","14,360","14,575","14,924","15,350","15,673","16,176","16,724","16,755","17,218","17,759","18,389","18,548","19,102","20,157","21,854"
ITL1,TLG,West Midlands,"9,668","9,949","10,332","10,796","11,212","11,457","11,771","12,175","12,380","12,840","13,193","13,543","13,866","14,001","14,180","14,562","15,054","15,601","16,387","16,666","16,875","17,368","17,891","18,000","18,547","19,506","21,141"
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire","10,969","11,392","11,779","12,274","12,782","13,114","13,515","14,118","14,495","15,179","15,480","15,938","16,246","16,306","16,578","17,036","17,724","18,355","19,523","20,044","20,186","20,825","21,383","21,314","21,890","23,019","25,059"
ITL3,TLG11,"Herefordshire, County of","10,193","10,617","10,843","11,297","11,849","12,189","12,687","13,280","13,655","14,407","14,660","15,117","15,581","16,034","16,458","16,769","17,532","17,855","18,825","19,032","19,318","20,034","20,986","21,147","21,681","22,736","24,774"
ITL3,TLG12,Worcestershire CC,"10,870","11,389","11,700","12,023","12,526","12,874","13,151","13,872","14,427","15,226","15,333","15,661","15,965","15,885","16,113","16,530","17,224","17,826","18,869","19,221","19,561","20,379","20,901","20,961","21,445","22,440","24,429"
ITL3,TLG13,Warwickshire CC,"11,337","11,660","12,185","12,883","13,379","13,687","14,184","14,662","14,851","15,389","15,909","16,502","16,762","16,835","17,099","17,649","18,306","19,070","20,433","21,230","21,116","21,538","22,004","21,726","22,404","23,688","25,774"
ITL2,TLG2,Shropshire and Staffordshire,"9,870","10,172","10,538","10,871","11,271","11,531","11,955","12,280","12,618","13,163","13,618","14,076","14,367","14,496","14,679","15,056","15,584","16,074","16,952","17,068","17,375","17,971","18,554","18,646","19,101","20,059","21,798"
