Country,GDP_Per_Capita,AI_Score,Labor_Cost_Norm,AI_Score_Norm,Income_Group,Efficiency_Index,Strategy_Label
Georgia,8283.66960652261,41.27,0.03225730695211921,0.5034768817860193,Upper-Mid,0.47121957483390015,0
Ghana,2383.90410483418,32.58,0.009283123314515456,0.3974624862754666,Low Income,0.3881793629609511,0
Guinea,1555.49375806861,27.44,0.006057223670125097,0.33475661827497866,Low Income,0.32869939460485353,0
Equatorial Guinea,6677.793435386,28.04,0.026003889923190512,0.3420763694034403,Lower-Mid,0.31607247948024975,0
Greece,23343.7103964562,57.95,0.09090237387871473,0.7069659631572527,High Income,0.616063589278538,0
Grenada,11414.4781691181,34.63,0.04444893911625629,0.42247163596437726,Upper-Mid,0.37802269684812095,0
Guatemala,5758.32760847852,35.76,0.02242341257204355,0.43625716725631325,Lower-Mid,0.4138337546842697,0
Guyana,20473.7002190617,36.79,0.07972631258638319,0.4488227400268391,Upper-Mid,0.3690964274404559,0
Honduras,3227.45762509776,32.63,0.012567991751597625,0.3980724655361718,Lower-Mid,0.3855044737845742,0
Croatia,22184.2279304842,49.34,0.08638725152508916,0.6019275344638283,Upper-Mid,0.5155402829387391,0
Haiti,1705.75808460999,21.97,0.006642365610284337,0.26802488715383677,Low Income,0.2613825215435524,0
Hungary,22230.6277875187,60.66,0.08656793647535779,0.740026839087471,Upper-Mid,0.6534589026121133,0
Indonesia,4876.30774512252,61.03,0.0189887529560036,0.7445406856166891,Lower-Mid,0.7255519326606855,0
India,2530.12031278204,62.58,0.009852501540010493,0.7634500426985482,Low Income,0.7535975411585377,0
Ireland,106818.917130804,69.82,0.4159618577095557,0.8517750396486519,High Income,0.4358131819390962,0
Iraq,5965.31835077761,33.4,0.023229451951659954,0.40746614615103083,Lower-Mid,0.3842366941993709,0
Iceland,82138.7892973557,69.59,0.3198553618017255,0.8489691350494084,High Income,0.5291137732476829,0
Israel,52003.7200729997,65.46,0.20250686479890037,0.7985848481151641,High Income,0.5960779833162637,0
Italy,39277.0838783918,67.63,0.15294827184461765,0.825057948029767,High Income,0.6721096761851493,0
Jamaica,7542.40084275345,41.32,0.0293707439694416,0.5040868610467244,Upper-Mid,0.4747161170772828,0
Jordan,4466.08314208575,56.85,0.017391303809909123,0.6935464194217397,Lower-Mid,0.6761551156118305,0
Japan,33836.1756271617,75.08,0.13176091697715037,0.9159448578748323,High Income,0.7841839408976818,0
Kazakhstan,12879.4275257974,48.56,0.05015357526332143,0.5924118579968282,Upper-Mid,0.5422582827335067,0
Kenya,1942.58802756191,40.19,0.007564601349773221,0.4903013297547883,Low Income,0.4827367284050151,0
Cambodia,2429.74853452838,31.88,0.00946164538395268,0.3889227766255947,Low Income,0.37946113124164205,0
Kiribati,2177.70125812262,27.4,0.00848015206665954,0.3342686348664145,Low Income,0.325788482799755,0
Kuwait,34075.849012909,49.86,0.13269422532230898,0.6082713187751616,High Income,0.4755770934528526,0
Lebanon,3477.72489842684,47.62,0.013542553587029759,0.5809442478955715,Lower-Mid,0.5674016943085418,0
Liberia,799.194470229642,22.24,0.0031121305611144416,0.2713187751616445,Low Income,0.26820664460053006,0
Libya,6026.51518708812,25.31,0.023467757585169568,0.30877150176893986,Lower-Mid,0.2853037441837703,0
Liechtenstein,206780.590353385,52.63,0.8052210302445448,0.6420641698182262,High Income,-0.1631568604263186,1
Sri Lanka,3798.89016573011,41.89,0.014793198180774,0.511040624618763,Lower-Mid,0.49624742643798897,0
Lesotho,916.282976983803,26.21,0.0035680830655407717,0.31975112846163234,Low Income,0.31618304539609154,0
Lithuania,27786.0057829276,63.33,0.10820104616527701,0.7725997316091253,High Income,0.6643986854438483,0
Luxembourg,133230.619178899,69.41,0.5188112494118117,0.8467732097108698,High Income,0.3279619602990581,0
Latvia,22710.2637544197,60.3,0.08843567931693846,0.735634988410394,Upper-Mid,0.6471993090934556,0
Morocco,3813.72607421875,43.34,0.014850970457646898,0.5287300231792119,Lower-Mid,0.513879052721565,0
Monaco,256799.788612806,50.5,1.0,0.6160790533121874,High Income,-0.3839209466878126,1
Madagascar,508.718427705591,28.47,0.0019809923927648528,0.34732219104550444,Low Income,0.3453411986527396,0
Maldives,12587.6126038651,31.71,0.04901722338581935,0.38684884713919726,Upper-Mid,0.33783162375337794,0
Mexico,13860.9597809326,50.37,0.0539757445121253,0.614493107234354,Upper-Mid,0.5605173627222287,0
Marshall Islands,6793.24495895856,35.7,0.026453467877269883,0.4355251921434672,Lower-Mid,0.4090717242661973,0
North Macedonia,8674.35846327485,45.4,0.03377868225722628,0.5538611687202635,Upper-Mid,0.5200824864630372,0
Mali,1043.9533853528,27.45,0.004065242385876094,0.33487861412711967,Low Income,0.3308133717412436,0
Malta,40905.8059585057,63.64,0.15929065276678278,0.7763816030254972,High Income,0.6170909502587144,0
Myanmar,1233.19666209269,30.91,0.00480217164022694,0.3770891789679151,Low Income,0.37228700732768816,0
Montenegro,12259.8775034436,47.15,0.047740995308717435,0.5752104428449433,Upper-Mid,0.5274694475362258,0
Mongolia,5838.63108083902,38.99,0.022736121055155187,0.4756618274978651,Lower-Mid,0.4529257064427099,0
Mozambique,622.000297682823,25.62,0.0024221215330541175,0.31255337318531173,Low Income,0.31013125165225763,0
Mauritania,2135.78187606359,27.09,0.008316914463211842,0.3304867634500427,Low Income,0.3221698489868308,0
Mauritius,11269.9684462139,53.27,0.04388620608721129,0.649871904355252,Upper-Mid,0.6059856982680407,0
